	fluxes
HQNGT_c	0.0
ALDD2y_c	0.0
SINK_CHLB_pl	0.0
PC1829Z18212ZDS_c	0.0
FDH_m	0.0
XYS3_g	0.02249471618790992
OXAt2_cm	0.0
GLUSx_pl	0.0
TCMO_c	0.0
NDP3_c	0.0
7IJASMONATES_c	0.0
ACONTb_c	0.0007563893810238418
TRPS2_pl	0.06141102800373511
ZSSI_c	0.0
ATPt3_cm	0.0
DVPCHLD_pl	0.0
GGTT_c	0.0
THFtdiff_cpl	0.0
PRBK_pl	108.05549418550602
NDPK5_m	0.0
TXASr_c	0.0
MEPCT_pl	0.1627256400436196
DNMPPA_c	0.0
UDPGD_c	0.2699365942549191
AICART_pl	0.8879668958788892
346THCISCINNMS_c	0.0
ECOAH8_c	0.01001022762857589
FALGTHL_c	0.0
PDH_m	0.0
EX_akg_eb	0.0
SINK_fum_c	0.0
PC1819Z1829Z12ZDS2_c	0.0
GHMT_pl	-1.473764718249722
LIMONINGT_c	0.0
NADTRHD_c	0.0
LOTAUSTRALINGSD_c	0.0
RNDR3_c	0.08167647523048595
PSPPS_er	0.0
HMR_2002_c	0.0
GIBBA9OX2_c	0.0
3HPDHBMT_c	0.0
CYSDS_c	0.0
HSDA_c	0.0
SINK_sinapylalc_c	0.0
PGIB_c	0.0
PPCK_c	0.0
ASCPOX_m	0.0
FMNAT_c	0.0
IMPt_cpl	0.0
SEPIRED_c	0.0
FBA_c	-10.502230293059332
HMR_1477_c	0.0
SINK_glu_L_c	0.0
G6PBDH_c	0.0
MDHASCBL_x	0.0
DHCR72r_c	0.0
R02379_c	0.0
ILE_Lt_cm	0.0
TCINCOAL_c	0.09984778709562299
PGK_pl	212.85308890101226
PEAMNO_c	0.0
GLXt_cpl	0.0
THRD_L_pl	0.11480610520056031
SERR_c	0.0
AASAD3_c	0.0
NADt_cmi	0.0
HEX1_c	0.0
GALS3_c	0.0
PRPPS_pl	0.9493779238826247
2DHLUBIMINS_c	0.0
GA34OX_c	0.0
NMCOCLAURINEOX_c	0.0
